name,manufacturer,stages,dimensions.height_m,dimensions.diameter_m,payload.to_LEO_kg,payload.to_GTO_kg,propulsion.first_stage.engines,propulsion.first_stage.engine_type,propulsion.first_stage.thrust_kN,propulsion.second_stage.engine_type,propulsion.second_stage.thrust_kN,propulsion.main_stage.engine_type,propulsion.main_stage.thrust_kN,propulsion.boosters.count,propulsion.boosters.thrust_each_kN
Falcon 9,SpaceX,2,70,3.7,22800,8300,9.0,Merlin 1D,7607.0,Merlin Vacuum,981.0,,,,
Ariane 5,Arianespace,2,53,5.4,21000,10200,,,,,,Vulcain 2,1359.0,2.0,7080.0
